level,date,description,points,total
234,29/9/2024,Used Compendium Point Booster Item,"8,000",234600
226,29/9/2024,Used Compendium Point Booster Item,"8,000",226600
218,29/9/2024,Lost Turbo Match,50,218600
218,29/9/2024,First Win of the Day,"1,500",218550
217,29/9/2024,Won Turbo Match,150,217050
216,29/9/2024,Won Turbo Match,150,216900
216,28/9/2024,Won Turbo Match,150,216750
216,28/9/2024,First Win of the Day,"1,500",216600
215,28/9/2024,Won Turbo Match,150,215100
214,28/9/2024,Lost Turbo Match,50,214950
214,28/9/2024,Won Turbo Match,150,214900
214,27/9/2024,Lost Turbo Match,50,214750
214,27/9/2024,Won Turbo Match,150,214700
214,27/9/2024,Lost Turbo Match,50,214550
214,27/9/2024,Lost Turbo Match,50,214500
214,27/9/2024,Won Turbo Match,150,214450
214,2719/2024,First Win of the Day,"1,500",214300
212,27/9/2024,Won Turbo Match,150,212800
212,27/9/2024,Lost Turbo Match,50,212650
212,26/9/2024,First Win of the Day,550,212600
212,26/9/2024,Won Turbo Match,150,212050
211,25/9/2024,Lost Turbo Match,50,211900
211,25/9/2024,Lost Turbo Match,50,211850
211,25/9/2024,Won Turbo Match,150,211800
211,25/9/2024,Won Turbo Match,150,211650
211,25/9/2024,Won Turbo Match,150,211500
211,25/9/2024,First Win of the Day,"1,500",211350
209,25/9/2024,Won Turbo Match,150,209850
209,24/9/2024,Lost Turbo Match,50,209700
209,24/9/2024,First Win of the Day,"1,500",209650
208,24/9/2024,Won Turbo Match,150,208150
208,23/9/2024,Lost Turbo Match,50,208000
207,23/9/2024,First Win of the Day,"1,500",207950
206,23/9/2024,Won Turbo Match,150,206450
206,23/9/2024,Lost Turbo Match,50,206300
206,22/9/2024,Won Turbo Match,150,206250
2U6,22/9/2024,Won Turbo Match,150,206100
205,22/9/2024,Won Turbo Match,150,205950
205,22/9/2024,First Win of the Day,"1,500",205800
204,22/9/2024,Won Turbo Match,150,204300
204,21/9/2024,First Win of the Day,"1,500",204150
202,21/9/2024,Won Turbo Match,150,202650
202,21/9/2024,Lost Turbo Match,50,202500
ZUZ,21/9/2024,Lost lurbo Match,50,202450
202,20/9/2024,Lost Turbo Match,50,202400
202,20/9/2024,Lost Turbo Match,50,202350
202,20/9/2024,First Win of the Day,"1,500",202300
200,20/9/2024,Won Turbo Match,150,200800
200,20/9/2024,Lost Turbo Match,50,200650
200,19/9/2024,First Win of the Day,"1,400",200600
199,19/9/2024,Won Turbo Match,150,199200
199,19/9/2024,Lost Turbo Match,50,199050
199,18/9/2024,First Win of the Day,"1,500",199000
197,18/9/2024,Won Turbo Match,150,197500
19/,17/9/2024,Won Turbo Match,150,197350
197,17/9/2024,First Win of the Day,"1,500",197200
195,17/9/2024,Won Turbo Match,150,195700
195,17/9/2024,Lost Turbo Match,50,195550
195,17/9/2024,Lost Turbo Match,50,195500
195,16/9/2024,First Win of the Day,"1,500",195450
193,16/9/2024,Won Turbo Match,150,193950
193,16/9/2024,Lost Turbo Match,50,193800
193,16/9/2024,Lost Turbo Match,50,193750
iv3s,16/9/2024,Fantasy Reward: Top 1 percent,"25,000",193700
168,16/9/2024,Lost Turbo Match,50,168700
168,15/9/2024,Correct Event Prediction,"5,000",168650
163,15/9/2024,First Win of the Day,"1,500",163650
162,15/9/2024,Won Turbo Match,150,162150
162,15/9/2024,Lost Turbo Match,50,162000
161,14/9/2024,Bingo Reward,750,161950
161,14/9/2024,bingo Keward,750,161200
160,14/9/2024,Bingo Reward,750,160450
159,14/9/2024,Bingo Reward,750,159700
158,14/9/2024,First Win of the Day,"1,500",158950
157,14/9/2024,Won Turbo Match,150,157450
157,14/9/2024,Lost Turbo Match,50,157300
157,14/9/2024,Bingo Reward,750,157250
156,14/9/2024,Bingo Reward,750,156500
155,14/9/2024,Bingo Reward,750,155750
155,14/9/2024,Bingo Reward,750,155000
154,14/9/2024,Bingo Reward,750,154250
153,14/9/2024,Bingo Reward,750,153500
152,14/9/2024,Correct Event Prediction,"8,000",152750
144,13/9/2024,First Win of the Day,"1,500",144750
143,13/9/2024,Won Turbo Match,150,143250
143,12/9/2024,Won Turbo Match,150,143100
142,12/9/2024,First Win of the Day,"1,500",142950
141,12/9/2024,Won Turbo Match,150,141450
141,12/9/2024,Lost Turbo Match,50,141300
141,11/9/2024,Lost Turbo Match,50,141250
141,11/9/2024,Lost Turbo Match,50,141200
141,11/9/2024,Lost Turbo Match,50,141150
